onset	duration	sample	value
734.9833984375	n/a	752624	2622
737.21875	n/a	754913	1111
738.07421875	n/a	755789	4311
738.1298828125	n/a	755846	1112
738.2216796875	n/a	755940	4220
739.671875	n/a	757425	4210
740.6318359375	n/a	758408	4230
741.78125	n/a	759585	4210
743.3466796875	n/a	761188	1111
744.30078125	n/a	762165	4311
744.3681640625	n/a	762234	1112
744.37890625	n/a	762245	4220
747.39453125	n/a	765333	4210
749.283203125	n/a	767267	4220
750.4033203125	n/a	768414	4210
751.3037109375	n/a	769336	4312
758.9208984375	n/a	777136	1121
759.8095703125	n/a	778046	4311
759.8642578125	n/a	778102	1122
759.8759765625	n/a	778114	4230
761.8466796875	n/a	780132	4210
763.4169921875	n/a	781740	4312
765.408203125	n/a	783779	1111
766.25390625	n/a	784645	3200
766.3310546875	n/a	784724	4311
766.3974609375	n/a	784792	4220
766.3974609375	n/a	784792	1112
766.7333984375	n/a	785136	2621
768.5693359375	n/a	787016	4210
768.9296875	n/a	787385	4312
769.3935546875	n/a	787860	1311
769.5302734375	n/a	788000	1312
769.912109375	n/a	788391	1311
770.0634765625	n/a	788546	1312
771.8388671875	n/a	790364	1121
772.1494140625	n/a	790682	4230
772.771484375	n/a	791319	4311
772.837890625	n/a	791387	1122
774.4833984375	n/a	793072	2622
774.849609375	n/a	793447	4210
777.3115234375	n/a	795968	4230
778.158203125	n/a	796835	1121
778.2587890625	n/a	796938	4210
778.7353515625	n/a	797426	4230
779.091796875	n/a	797791	4311
779.1572265625	n/a	797858	1122
780.0625	n/a	798785	1311
